date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:40	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Mar%202023%2006:28:40%20GMT	https://www.sinohacesnadasosparte.org/robots.txt		(from )
13:28:40	161058/161058	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2015:07:04%20GMT	https://www.sinohacesnadasosparte.org/	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/index.html	(from )
13:28:42	4533/4533	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Jul%202022%2013:34:37%20GMT	https://i.ibb.co/68Rtsh4/favidewa.png	C:/My%20Web%20Sites/amp%20dewasloto/i.ibb.co/68Rtsh4/favidewa.png	(from https://www.sinohacesnadasosparte.org/)
13:28:42	112207/112207	---M--	200	added ('OK')	text/javascript	etag:%22972da368acb7d622%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/My%20Web%20Sites/amp%20dewasloto/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://www.sinohacesnadasosparte.org/)
13:28:42	4720/4720	---M--	200	added ('OK')	image/png	etag:%2262c42a58-1270%22	https://www.sinohacesnadasosparte.org/assets/images/tools-sprite.png	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/tools-sprite.png	(from https://www.sinohacesnadasosparte.org/)
13:28:42	1845/1845	---M--	200	added ('OK')	image/png	etag:%2262c42a58-735%22	https://www.sinohacesnadasosparte.org/assets/images/slot-arrow.png	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/slot-arrow.png	(from https://www.sinohacesnadasosparte.org/)
13:28:42	87174/87174	---M--	200	added ('OK')	image/png	etag:%2262c42a57-15486%22	https://www.sinohacesnadasosparte.org/assets/images/logo-sprite.png	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/logo-sprite.png	(from https://www.sinohacesnadasosparte.org/)
13:28:43	9945/9945	---M--	200	added ('OK')	image/png	etag:%2262c42a57-26d9%22	https://www.sinohacesnadasosparte.org/assets/images/menu-sprite.png	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/menu-sprite.png	(from https://www.sinohacesnadasosparte.org/)
13:28:43	1645/1645	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262c42a57-66d%22	https://www.sinohacesnadasosparte.org/assets/images/icon-home.svg	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/icon-home.svg	(from https://www.sinohacesnadasosparte.org/)
13:28:43	7213/7213	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262c42a57-1c2d%22	https://www.sinohacesnadasosparte.org/assets/images/icon-games.svg	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/icon-games.svg	(from https://www.sinohacesnadasosparte.org/)
13:28:43	1302/1302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262c42a57-516%22	https://www.sinohacesnadasosparte.org/assets/images/icon-login2.svg	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/icon-login2.svg	(from https://www.sinohacesnadasosparte.org/)
13:28:43	3308/3308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262c42a57-cec%22	https://www.sinohacesnadasosparte.org/assets/images/icon-contact.svg	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/icon-contact.svg	(from https://www.sinohacesnadasosparte.org/)
13:28:44	283231/283231	---M--	200	added ('OK')	text/javascript	etag:%22629cb52c72f9013c%22	https://cdn.ampproject.org/v0.js	C:/My%20Web%20Sites/amp%20dewasloto/cdn.ampproject.org/v0.js	(from https://www.sinohacesnadasosparte.org/)
13:28:44	38762/38762	---M--	200	added ('OK')	text/javascript	etag:%22caf8d55f820848fa%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/My%20Web%20Sites/amp%20dewasloto/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://www.sinohacesnadasosparte.org/)
13:28:45	31402/31402	---M--	200	added ('OK')	text/javascript	etag:%22d091ee8410bc582a%22	https://cdn.ampproject.org/v0/amp-sidebar-0.1.js	C:/My%20Web%20Sites/amp%20dewasloto/cdn.ampproject.org/v0/amp-sidebar-0.1.js	(from https://www.sinohacesnadasosparte.org/)
13:28:45	1388/1388	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262c42a57-56c%22	https://www.sinohacesnadasosparte.org/assets/images/icon2-home.svg	C:/My%20Web%20Sites/amp%20dewasloto/www.sinohacesnadasosparte.org/assets/images/icon2-home.svg	(from https://www.sinohacesnadasosparte.org/)
